time,x,y,z
0.019,-0.00,0.00,-0.03
0.038,-0.01,-0.00,-0.07
0.059,0.00,0.00,-0.04
0.079,0.01,-0.00,-0.05
0.098,-0.00,-0.01,-0.03
0.119,-0.02,0.01,-0.05
0.138,-0.01,-0.01,-0.06
0.159,-0.02,-0.00,-0.06
0.179,0.02,-0.00,-0.04
0.199,-0.08,0.02,-0.05
0.219,0.05,-0.00,0.00
0.239,-0.04,-0.03,-0.08
0.259,0.04,0.01,-0.01
0.279,-0.02,0.02,-0.05
0.299,-0.03,-0.03,-0.04
0.319,0.04,0.01,-0.02
0.340,0.00,-0.00,-0.04
0.360,0.00,-0.05,-0.02
0.380,-0.02,-0.01,-0.06
0.399,0.02,0.02,-0.04
0.420,-0.01,-0.00,-0.04
0.439,-0.01,-0.02,-0.03
0.460,-0.02,0.00,-0.05
0.480,0.01,-0.01,-0.06
0.499,-0.01,-0.02,-0.04
0.520,0.01,0.00,-0.04
0.538,-0.00,0.00,-0.05
0.560,0.02,-0.00,-0.04
0.580,-0.01,-0.00,-0.06
0.599,-0.00,-0.01,-0.06
0.620,-0.01,0.01,-0.04
0.640,-0.01,-0.01,-0.05
0.660,-0.00,0.01,-0.02
0.679,-0.01,0.01,-0.04
0.700,-0.02,-0.01,-0.04
0.719,0.01,0.01,-0.04
0.740,-0.01,-0.00,-0.05
0.760,0.05,-0.01,-0.03
0.780,0.02,-0.01,-0.05
0.800,0.02,-0.01,-0.02
0.820,-0.01,-0.01,-0.04
0.841,-0.01,-0.00,-0.06
0.860,-0.02,-0.02,-0.05
0.881,0.00,-0.00,-0.05
0.900,0.01,0.01,-0.04
0.919,-0.00,0.01,-0.03
0.940,0.01,-0.01,-0.03
0.960,0.01,-0.02,-0.05
0.980,0.01,0.01,-0.05
1.000,0.00,0.00,-0.02
1.020,0.00,-0.02,-0.05
1.039,0.00,-0.01,-0.05
1.061,-0.01,0.02,-0.07
1.080,-0.02,0.01,-0.07
1.100,0.02,-0.00,-0.05
1.121,-0.00,-0.00,-0.06
1.140,0.02,0.01,-0.05
1.161,-0.02,0.01,-0.05
1.180,-0.01,0.00,-0.05
1.200,0.03,-0.02,-0.04
1.220,-0.00,0.01,-0.04
1.241,0.01,0.01,-0.02
1.259,-0.02,-0.05,-0.06
1.281,0.03,-0.00,-0.03
1.300,0.02,0.01,-0.03
1.321,-0.02,-0.01,-0.04
1.341,-0.02,-0.01,-0.04
1.361,-0.01,0.00,-0.05
1.381,-0.01,-0.01,-0.04
1.401,0.04,-0.01,-0.04
1.421,-0.00,-0.01,-0.04
1.441,0.00,-0.01,-0.02
1.462,-0.01,-0.00,-0.05
1.482,-0.02,-0.00,-0.06
1.501,0.01,0.00,-0.06
1.521,-0.01,-0.02,-0.05
1.541,-0.01,-0.03,-0.03
1.562,0.00,-0.01,-0.05
1.582,-0.01,0.01,-0.04
1.601,0.00,-0.01,-0.02
1.623,-0.03,-0.00,-0.08
1.643,0.02,-0.00,-0.03
1.662,-0.01,0.02,-0.04
1.683,-0.01,-0.01,-0.03
1.701,-0.01,-0.01,-0.05
1.722,0.01,0.01,-0.04
1.742,-0.01,0.02,-0.01
1.767,-0.01,-0.00,-0.04
1.782,0.02,-0.01,-0.03
1.803,0.00,-0.01,-0.02
1.822,-0.02,0.00,-0.05
1.842,0.01,-0.01,-0.01
1.861,-0.00,0.00,-0.04
1.882,-0.03,-0.03,-0.03
1.903,0.04,0.05,-0.03
1.923,-0.00,-0.03,-0.01
1.943,-0.02,-0.00,-0.05
1.963,0.02,0.03,-0.04
1.983,-0.03,-0.04,-0.07
2.002,0.00,0.01,-0.03
2.023,0.02,0.01,-0.04
2.042,-0.04,-0.03,-0.07
2.065,0.04,0.01,-0.02
2.082,-0.02,0.01,-0.08
2.103,0.02,-0.01,-0.01
2.123,0.02,-0.01,-0.05
2.143,-0.03,-0.01,-0.07
2.163,0.01,-0.03,-0.03
2.184,-0.05,0.02,-0.08
2.203,0.03,-0.01,-0.02
2.223,0.00,-0.00,-0.03
2.243,-0.00,0.01,-0.01
2.262,-0.02,-0.02,-0.04
2.284,0.00,-0.02,-0.03
2.302,-0.00,0.00,-0.04
2.324,0.03,0.00,-0.05
2.343,0.02,0.01,0.00
2.363,-0.03,-0.01,-0.04
2.384,0.02,-0.03,-0.02
2.403,-0.02,0.00,-0.06
2.423,0.02,-0.00,-0.05
2.444,0.02,-0.02,-0.03
2.462,-0.04,0.01,-0.05
2.484,-0.01,-0.01,-0.04
2.504,0.00,0.01,-0.04
2.524,0.01,0.02,-0.05
2.542,-0.00,-0.01,-0.08
2.563,-0.01,-0.01,-0.03
2.583,-0.01,-0.01,-0.05
2.604,0.03,0.00,-0.05
2.624,0.01,0.02,-0.04
2.644,-0.01,-0.01,-0.02
2.663,0.01,-0.02,-0.04
2.685,-0.01,0.01,-0.06
2.704,-0.01,-0.01,-0.03
2.723,-0.00,-0.00,-0.02
2.744,-0.00,-0.04,-0.04
2.763,0.01,-0.01,-0.02
2.785,0.01,-0.00,-0.04
2.804,-0.00,0.01,-0.03
2.823,0.01,-0.02,-0.05
2.844,-0.01,-0.03,-0.04
2.864,0.01,-0.01,-0.03
2.886,-0.01,0.01,-0.07
2.904,0.00,-0.00,-0.06
2.924,-0.01,-0.01,-0.05
2.943,-0.02,-0.02,-0.03
2.964,0.00,0.01,-0.03
2.984,0.02,0.03,-0.03
3.003,-0.03,-0.01,-0.03
3.025,0.01,-0.01,-0.02
3.045,0.01,-0.01,-0.04
3.065,-0.00,-0.01,-0.04
3.084,0.00,0.00,-0.04
3.105,-0.04,0.01,-0.05
3.125,0.00,0.00,-0.05
3.145,0.00,0.02,-0.02
3.165,-0.01,0.01,-0.03
3.184,0.00,-0.02,-0.07
3.205,-0.01,-0.03,-0.04
3.225,0.01,0.01,-0.02
3.244,0.00,-0.01,-0.02
3.265,0.02,-0.00,-0.04
3.284,0.00,-0.01,-0.04
3.305,0.00,-0.01,-0.04
3.325,0.00,0.01,-0.05
3.344,-0.03,-0.01,-0.04
3.366,-0.01,0.01,-0.05
3.385,0.00,-0.00,-0.04
3.405,0.01,-0.02,-0.05
3.425,-0.01,-0.00,-0.04
3.445,0.01,0.00,-0.04
3.465,-0.01,0.00,-0.05
3.484,-0.02,-0.02,-0.05
3.505,0.00,-0.01,-0.04
3.525,-0.02,-0.02,-0.04
3.544,-0.01,-0.03,-0.05
3.566,0.02,-0.00,-0.01
3.584,-0.01,0.00,-0.03
3.605,-0.01,-0.00,-0.02
3.626,-0.02,-0.00,-0.02
3.645,-0.01,0.00,-0.03
3.667,-0.00,0.00,-0.04
3.685,-0.02,-0.02,-0.05
3.706,0.00,-0.01,-0.05
3.726,-0.01,0.01,-0.04
3.745,0.01,0.01,-0.03
3.766,-0.02,-0.02,-0.06
3.785,0.00,0.01,-0.05
3.806,-0.01,0.00,-0.06
3.826,-0.02,0.00,-0.06
3.846,0.00,0.01,-0.02
3.866,-0.00,0.00,-0.04
3.885,-0.00,-0.02,-0.04
3.906,-0.01,-0.00,-0.06
3.926,-0.02,0.00,-0.05
3.945,-0.00,0.01,-0.01
3.968,-0.01,0.00,-0.05
3.985,0.01,-0.00,-0.04
4.006,0.00,0.01,-0.07
4.026,-0.01,0.01,-0.04
4.046,-0.00,-0.03,-0.02
4.067,-0.00,-0.00,-0.05
4.085,-0.01,-0.01,-0.05
4.106,0.00,0.00,-0.04
4.124,-0.01,-0.00,-0.04
4.147,0.00,0.00,-0.02
4.165,-0.01,-0.02,-0.06
4.185,-0.00,0.01,-0.05
4.206,0.00,0.00,-0.06
4.226,-0.02,-0.02,-0.03
4.247,-0.01,-0.02,-0.04
4.266,-0.01,-0.01,-0.04
4.286,0.00,0.02,-0.05
4.307,-0.01,0.02,-0.05
4.326,0.01,-0.00,-0.04
4.346,-0.02,-0.02,-0.04
4.366,-0.01,0.01,-0.04
4.386,-0.00,0.02,-0.06
4.407,0.02,-0.01,-0.06
4.426,-0.03,-0.01,-0.06
4.446,-0.00,0.02,-0.03
4.466,-0.00,0.01,-0.03
4.487,0.01,-0.00,-0.05
4.507,-0.00,-0.01,-0.04
4.526,-0.00,-0.00,-0.03
4.549,0.00,0.02,-0.03
4.567,-0.00,0.02,-0.06
4.586,-0.01,-0.02,-0.05
4.607,-0.00,-0.02,-0.04
4.626,-0.01,-0.02,-0.06
4.648,-0.00,0.00,-0.06
4.667,-0.00,-0.01,-0.03
4.687,0.03,0.02,-0.03
4.706,-0.02,-0.01,-0.08
4.726,-0.01,0.01,-0.03
4.749,0.01,-0.01,-0.03
4.767,-0.02,0.00,-0.06
4.786,0.01,-0.03,-0.04
4.807,0.01,-0.00,-0.03
4.826,0.01,0.01,-0.05
4.848,-0.01,0.01,-0.05
4.867,-0.01,0.01,-0.05
4.887,-0.02,-0.01,-0.05
4.908,0.04,-0.01,-0.02
4.926,-0.03,-0.03,-0.06
4.951,0.01,0.02,-0.05
4.968,-0.00,0.00,-0.04
4.988,-0.02,-0.01,-0.05
5.007,0.01,0.02,-0.01
5.027,-0.00,-0.00,-0.03
5.050,-0.01,-0.00,-0.02
5.067,-0.01,-0.01,-0.03
5.087,-0.00,-0.01,-0.07
5.108,-0.01,0.02,-0.06
5.127,-0.01,-0.02,-0.06
5.151,0.00,-0.01,-0.04
5.168,-0.01,-0.02,-0.02
5.188,0.04,0.01,-0.07
5.208,-0.03,0.00,-0.08
5.227,0.00,0.00,-0.04
5.247,0.01,0.00,-0.05
5.268,-0.03,-0.00,-0.04
5.287,-0.01,-0.02,-0.06
5.308,-0.01,0.00,-0.04
5.327,0.03,-0.00,-0.05
5.348,-0.00,0.01,-0.08
5.368,0.00,-0.02,-0.03
5.388,-0.01,0.00,-0.05
5.408,-0.01,-0.00,-0.05
5.428,0.01,0.00,-0.05
5.449,0.01,0.01,-0.04
5.469,-0.02,0.01,-0.07
5.488,0.02,-0.01,-0.01
5.508,-0.00,-0.03,-0.05
5.528,-0.00,-0.01,-0.06
5.549,0.00,0.03,-0.09
5.569,0.00,0.00,-0.04
5.589,-0.01,-0.02,-0.02
5.608,-0.02,-0.01,-0.03
5.629,0.00,-0.01,-0.04
5.649,-0.01,0.01,-0.07
5.669,0.01,-0.00,-0.03
5.688,-0.01,-0.01,-0.03
5.708,-0.02,-0.00,-0.05
5.729,0.03,-0.00,-0.04
5.749,-0.02,-0.03,-0.07
5.769,0.01,0.01,-0.03
5.789,-0.05,-0.00,-0.06
5.808,0.02,0.00,-0.04
5.827,0.03,0.02,-0.01
5.849,-0.01,-0.00,-0.03
5.869,-0.00,-0.02,-0.03
5.889,-0.01,-0.01,-0.04
5.908,-0.01,-0.00,-0.04
5.929,-0.01,-0.00,-0.06
5.950,-0.01,-0.01,-0.05
5.969,-0.01,-0.00,-0.06
5.989,-0.01,0.01,-0.04
6.009,0.01,0.00,-0.05
6.029,-0.01,-0.00,-0.03
6.049,0.03,0.00,-0.03
6.069,0.00,0.00,-0.04
6.089,-0.02,-0.02,-0.04
6.109,0.01,0.01,-0.04
6.129,-0.06,-0.02,-0.06
6.148,0.02,0.01,-0.02
6.169,-0.01,-0.01,-0.05
6.189,0.00,-0.00,-0.03
6.209,-0.00,0.03,-0.03
6.228,-0.01,0.01,-0.04
6.249,-0.02,-0.02,-0.06
6.268,-0.01,-0.01,-0.05
6.290,-0.00,-0.02,-0.05
6.309,0.01,0.01,-0.02
6.330,-0.00,0.00,-0.04
6.350,-0.01,0.01,-0.03
6.369,0.01,0.01,-0.05
6.392,-0.00,0.02,-0.04
6.408,-0.00,0.00,-0.05
6.429,0.01,-0.00,-0.04
6.449,-0.01,0.01,-0.04
6.470,-0.01,0.00,-0.03
6.490,-0.01,-0.01,-0.04
6.509,0.00,-0.00,-0.05
6.532,-0.01,-0.00,-0.05
6.550,0.00,0.01,-0.06
6.570,0.01,0.02,-0.05
6.590,0.00,-0.01,-0.06
6.609,0.00,-0.03,-0.05
6.630,-0.02,-0.00,-0.04
6.650,0.01,-0.00,-0.04
6.670,-0.02,0.02,-0.04
6.689,-0.00,0.00,-0.04
6.710,0.00,-0.01,-0.03
6.731,-0.01,-0.00,-0.05
6.751,0.00,0.00,-0.05
6.770,0.01,0.01,-0.03
6.790,-0.00,0.01,-0.03
6.810,0.02,0.00,-0.03
6.830,0.00,-0.00,-0.04
6.851,0.00,-0.02,-0.05
6.870,-0.00,0.01,-0.04
6.890,0.00,-0.01,-0.06
6.910,0.00,-0.01,-0.07
6.930,0.00,-0.02,-0.04
6.950,-0.00,-0.01,-0.04
6.970,-0.02,0.00,-0.04
6.991,-0.02,0.01,-0.04
7.010,0.01,-0.00,-0.05
7.030,0.01,0.00,-0.05
7.051,0.01,-0.01,-0.05
7.070,0.01,-0.01,-0.04
7.090,-0.00,-0.01,-0.04
7.111,0.01,0.01,-0.04
7.131,-0.01,-0.01,-0.04
7.151,-0.02,0.00,-0.04
7.173,0.00,0.02,-0.01
7.191,-0.01,-0.03,-0.05
7.211,0.02,0.03,-0.04
7.231,0.02,0.02,0.00
7.251,-0.01,-0.00,-0.02
7.273,-0.03,-0.00,-0.02
7.291,0.00,-0.01,-0.01
7.311,0.00,-0.01,-0.05
7.332,-0.01,0.00,-0.06
7.351,-0.01,0.01,-0.05
7.371,0.01,0.00,-0.01
7.392,0.02,0.01,-0.03
7.410,0.00,-0.00,-0.06
7.432,-0.00,0.01,-0.03
7.452,-0.01,-0.00,-0.04
7.471,-0.01,0.01,-0.04
7.492,-0.00,-0.01,-0.04
7.512,-0.00,0.01,-0.07
7.530,0.00,0.02,-0.05
7.552,-0.01,-0.01,-0.02
7.571,0.00,-0.00,-0.04
7.591,-0.01,-0.01,-0.02
7.611,-0.01,-0.01,-0.05
7.632,-0.01,0.00,-0.06
7.652,-0.01,-0.01,-0.04
7.671,-0.01,0.00,-0.02
7.690,-0.00,0.01,-0.05
7.711,-0.02,-0.01,-0.06
7.731,-0.02,0.01,-0.03
7.752,0.01,-0.00,-0.04
7.771,0.00,-0.00,-0.04
7.796,-0.01,-0.01,-0.05
7.812,-0.01,-0.02,-0.05
7.832,0.00,-0.01,-0.01
7.852,-0.00,-0.01,-0.04
7.872,-0.00,0.01,-0.05
7.894,-0.01,0.01,-0.03
7.912,-0.01,0.01,-0.03
7.932,-0.01,-0.02,-0.06
7.952,0.00,-0.01,-0.04
7.971,-0.01,0.02,-0.05
7.994,0.02,-0.02,-0.00
8.012,-0.04,0.03,-0.05
8.032,0.01,-0.03,-0.06
8.052,-0.00,0.01,-0.04
8.074,0.01,-0.02,-0.05
8.092,-0.02,-0.03,-0.05
8.111,0.00,-0.02,-0.09
8.133,-0.03,0.02,-0.09
8.152,0.04,0.03,-0.00
8.172,-0.00,-0.02,-0.01
8.194,-0.00,-0.04,-0.05
8.212,0.02,0.03,-0.06
8.232,-0.03,0.01,-0.06
8.254,0.02,-0.02,-0.00
8.273,-0.00,-0.02,-0.04
8.293,0.01,-0.00,-0.04
8.312,0.01,0.01,-0.04
8.333,-0.00,0.01,-0.05
