time,x,y,z
0.012,-0.14,0.24,-0.05
0.032,-0.19,0.22,-0.08
0.056,-0.20,0.22,-0.05
0.072,-0.17,0.25,-0.03
0.093,-0.19,0.24,-0.03
0.113,-0.16,0.24,-0.07
0.133,-0.16,0.25,-0.08
0.150,-0.14,0.25,-0.05
0.172,-0.18,0.25,-0.04
0.192,-0.14,0.21,-0.06
0.212,-0.19,0.21,-0.06
0.232,-0.17,0.24,-0.06
0.253,-0.18,0.25,-0.06
0.273,-0.16,0.23,-0.05
0.293,-0.15,0.21,-0.06
0.312,-0.15,0.24,-0.04
0.332,-0.16,0.24,-0.07
0.352,-0.18,0.23,-0.06
0.372,-0.16,0.23,-0.07
0.393,-0.22,0.22,-0.06
0.412,-0.15,0.24,-0.04
0.433,-0.27,0.25,-0.07
0.452,-0.13,0.21,-0.05
0.473,-0.08,0.24,-0.06
0.493,-0.17,0.23,-0.06
0.512,-0.13,0.19,-0.06
0.534,-0.23,0.26,-0.05
0.552,-0.14,0.22,-0.05
0.571,-0.20,0.26,-0.06
0.593,-0.14,0.24,-0.06
0.612,-0.19,0.25,-0.06
0.633,-0.13,0.22,-0.04
0.651,-0.15,0.20,-0.03
0.673,-0.14,0.21,-0.05
0.692,-0.16,0.23,-0.05
0.713,-0.16,0.24,-0.04
0.732,-0.19,0.21,-0.05
0.753,-0.15,0.20,-0.03
0.773,-0.11,0.23,-0.04
0.793,-0.16,0.22,-0.07
0.813,-0.16,0.24,-0.07
0.833,-0.15,0.23,-0.08
0.853,-0.14,0.21,-0.05
0.873,-0.22,0.23,-0.08
0.893,-0.13,0.23,-0.02
0.913,-0.18,0.22,-0.07
0.933,-0.18,0.19,-0.03
0.953,-0.14,0.23,-0.05
0.973,-0.17,0.25,-0.07
0.993,-0.12,0.20,-0.06
1.014,-0.19,0.20,-0.04
1.034,-0.19,0.21,-0.03
1.053,-0.12,0.27,-0.04
1.074,-0.18,0.16,-0.05
1.094,-0.04,0.24,-0.05
1.114,-0.20,0.21,-0.06
1.133,-0.14,0.24,-0.02
1.152,-0.23,0.20,-0.04
1.174,-0.14,0.20,-0.01
1.195,-0.14,0.23,-0.04
1.214,-0.16,0.23,-0.05
1.234,-0.16,0.19,-0.05
1.252,-0.18,0.22,-0.04
1.273,-0.15,0.21,-0.03
1.294,-0.14,0.21,-0.05
1.313,-0.15,0.21,-0.04
1.334,-0.14,0.22,-0.05
1.354,-0.15,0.21,-0.05
1.374,-0.14,0.20,-0.07
