time,x,y,z
0.016,0.39,0.08,-0.15
0.035,0.44,0.04,-0.16
0.055,0.37,-0.07,-0.02
0.075,-0.35,-0.25,-0.03
0.096,-1.95,-0.83,-0.05
0.116,-0.78,-0.93,0.12
0.135,-0.14,-0.52,-0.07
0.156,-0.29,-0.14,-0.11
0.175,-0.16,0.19,0.00
0.195,-0.13,0.32,0.01
0.215,-0.15,0.45,-0.03
0.235,0.04,0.49,-0.03
0.256,0.20,0.38,0.00
0.276,0.08,0.20,-0.07
0.296,0.09,-0.07,-0.16
0.316,0.20,-0.44,-0.07
0.335,0.21,-0.65,-0.08
0.356,0.10,-0.75,-0.07
0.376,-0.07,-0.73,-0.05
0.396,-0.11,-0.54,-0.10
0.416,-0.12,-0.29,-0.02
0.436,-0.07,-0.14,-0.06
0.456,-0.01,-0.12,-0.02
0.475,-0.03,-0.09,-0.09
0.496,-0.01,-0.17,-0.10
0.516,-0.08,-0.30,-0.05
0.536,-0.09,-0.41,-0.03
0.556,-0.04,-0.48,-0.03
0.576,0.01,-0.48,-0.03
0.597,0.09,-0.35,-0.06
0.616,0.09,-0.46,-0.09
0.636,0.04,-0.53,-0.04
0.657,-0.01,-0.60,-0.05
0.676,-0.11,-0.57,0.01
0.696,-0.06,-0.60,-0.01
0.716,-0.02,-0.60,-0.02
0.736,0.03,-0.40,-0.06
0.757,-0.06,-0.12,-0.04
0.776,-0.09,-0.11,-0.05
0.797,-0.13,-0.17,-0.05
0.816,-0.07,-0.27,-0.06
0.837,0.02,-0.23,-0.06
0.857,-0.05,-0.13,-0.04
0.876,-0.08,-0.14,-0.02
0.897,0.05,-0.44,-0.05
0.916,0.03,-0.20,-0.04
0.937,-0.02,-0.17,-0.05
0.957,-0.07,-0.23,-0.08
0.977,-0.21,-0.31,-0.02
0.997,-0.00,-0.32,-0.07
1.017,-0.06,-0.27,-0.02
1.037,-0.03,-0.52,-0.07
1.057,-0.05,-1.04,-0.01
1.077,-0.03,-2.78,0.05
1.096,-0.09,-3.44,0.05
1.117,-0.04,-2.77,-0.07
1.136,-0.18,-1.27,-0.20
1.157,-0.15,0.32,-0.24
1.177,-0.07,1.67,-0.14
1.198,0.12,2.19,-0.02
1.217,0.29,2.34,0.07
1.237,-0.03,0.30,0.06
1.258,-0.09,0.50,-0.20
1.277,-0.10,1.05,0.25
1.298,0.16,0.68,-0.01
1.317,0.12,0.00,-0.10
1.337,0.16,-0.57,-0.02
1.358,0.02,-0.33,-0.13
1.378,-0.09,-0.21,0.02
1.398,0.08,0.22,-0.09
1.418,0.40,0.12,-0.02
1.437,0.57,0.12,-0.00
1.459,0.53,-0.01,-0.06
1.478,-0.26,-0.23,-0.04
1.499,-1.87,-0.82,-0.09
1.517,-0.83,-1.15,0.04
1.538,-0.18,-0.47,-0.09
1.559,-0.18,-0.12,-0.03
1.578,0.15,0.07,-0.01
1.598,-0.15,0.55,0.02
1.618,-0.00,0.61,-0.08
1.637,-0.01,0.66,0.09
1.658,0.04,0.67,0.00
1.677,-0.01,0.47,-0.10
1.699,0.03,0.03,-0.12
1.717,0.18,-0.40,-0.12
1.739,0.22,-0.81,-0.03
1.759,0.11,-0.98,-0.05
1.779,0.01,-1.00,-0.11
1.798,-0.10,-0.82,-0.05
1.818,-0.13,-0.48,-0.08
1.839,-0.05,-0.62,0.02
1.859,-0.07,-1.00,-0.07
1.879,0.09,-1.39,-0.09
1.898,0.04,-1.05,-0.06
1.917,0.04,-0.96,0.05
1.939,0.28,-0.50,-0.02
1.960,0.39,0.01,-0.11
1.979,0.40,0.37,-0.10
1.998,0.22,0.45,-0.03
2.019,-0.03,0.32,-0.06
2.039,-0.08,-0.10,-0.01
2.059,0.01,-0.27,-0.05
2.079,0.12,-0.18,-0.08
2.099,0.23,-0.14,-0.05
2.121,0.22,-0.13,-0.07
2.139,0.16,-0.12,-0.07
2.160,0.06,-0.09,-0.08
2.179,-0.53,-0.08,-0.06
2.199,-2.16,0.14,-0.01
2.218,-0.53,-0.47,0.14
2.238,-0.59,-0.28,0.00
2.259,-0.60,-0.13,0.02
2.279,-0.06,0.01,-0.09
2.298,0.18,0.24,-0.09
2.320,0.27,0.23,-0.08
2.339,0.11,0.12,-0.01
2.361,0.00,0.09,-0.03
2.380,-0.13,0.13,-0.03
2.398,-0.18,0.11,-0.10
2.420,0.04,0.05,-0.08
2.440,0.18,-0.10,-0.03
2.460,0.13,-0.24,-0.05
2.480,0.14,-0.90,-0.10
2.499,0.55,-2.20,0.04
2.520,-0.15,-0.76,-0.21
2.539,0.21,-0.73,0.08
2.560,-0.04,-0.58,-0.04
2.580,0.14,-0.35,0.01
2.600,0.24,0.05,-0.19
2.620,0.29,0.00,-0.04
2.640,0.11,0.07,-0.02
2.661,0.04,-0.02,-0.08
2.680,0.06,-0.25,-0.04
2.700,0.12,-0.28,-0.08
2.720,0.19,-0.26,-0.07
2.740,0.17,-0.15,-0.04
2.761,0.10,-0.13,-0.07
2.780,-0.12,-0.11,-0.05
2.799,-1.65,0.35,0.01
2.820,-0.82,-0.00,0.10
2.840,-0.02,-0.42,-0.08
2.861,-0.31,-0.18,0.01
2.879,0.08,-0.05,-0.16
2.903,0.21,-0.02,-0.13
2.921,0.01,0.04,0.03
2.940,-0.13,0.10,0.01
2.964,-0.09,0.09,0.02
2.987,-0.20,0.14,-0.06
3.000,-0.30,0.24,-0.07
3.021,-0.11,0.22,-0.03
3.041,0.06,0.01,-0.06
3.063,0.12,-0.14,-0.01
3.083,0.14,-0.28,-0.11
3.101,0.18,-0.44,-0.07
3.121,0.14,-0.52,-0.06
3.141,0.09,-0.52,-0.01
3.162,0.03,-0.46,-0.04
3.181,0.08,-0.42,-0.08
3.201,0.01,-0.32,-0.06
3.221,-0.04,-0.24,-0.07
3.241,-0.03,-0.19,-0.03
3.261,-0.06,-0.16,-0.02
3.279,-0.05,-0.15,-0.04
3.301,0.02,-0.16,-0.08
3.321,-0.01,-0.16,-0.10
3.341,0.04,-0.21,-0.04
3.361,-0.02,-0.43,-0.07
3.380,-0.15,-0.52,-0.02
3.401,-0.02,-1.30,-0.02
3.420,0.17,-1.92,-0.05
3.441,0.23,-2.02,0.06
3.461,0.47,-1.54,-0.04
3.481,0.52,-0.46,-0.14
3.501,0.43,0.50,-0.13
3.521,0.14,1.29,-0.09
3.541,-0.18,1.40,0.00
3.561,-0.56,0.99,0.02
3.581,-0.53,0.17,-0.02
3.610,-0.10,-0.14,-0.05
3.622,0.05,0.03,-0.11
3.641,0.47,-0.07,-0.11
3.661,0.71,-0.30,-0.08
3.682,0.49,-0.22,-0.07
3.701,-0.58,-0.09,-0.01
3.721,-2.21,0.24,0.11
3.742,-0.44,-0.46,0.05
3.761,-0.73,-0.08,-0.06
3.781,-0.34,-0.05,0.04
3.801,-0.08,0.11,-0.06
3.822,0.01,0.10,-0.11
3.842,-0.10,0.24,-0.06
3.861,-0.08,0.23,0.03
3.882,-0.08,0.24,-0.02
3.901,-0.15,0.23,-0.06
3.922,-0.06,0.17,-0.04
3.942,0.16,0.03,-0.05
3.961,0.28,-0.24,-0.07
3.982,0.19,-0.45,-0.07
4.001,0.22,-1.34,-0.07
4.023,0.36,-1.64,-0.02
4.042,-0.12,-0.86,-0.01
4.062,0.17,-0.87,-0.03
4.082,0.23,-0.63,0.03
4.103,0.26,-0.27,-0.06
4.124,0.36,0.04,-0.18
4.143,0.30,0.01,-0.04
4.161,0.22,0.16,-0.05
4.182,0.08,0.04,-0.05
4.203,0.10,-0.22,-0.02
4.222,0.15,-0.23,-0.07
4.243,-0.33,-0.05,0.00
4.263,-1.47,0.60,-0.11
4.283,-0.19,-0.12,0.12
4.302,-0.22,-0.07,-0.07
4.322,-0.01,-0.09,-0.01
4.343,0.10,-0.15,-0.08
4.363,-0.15,-0.05,-0.02
4.383,-0.11,-0.16,-0.08
4.403,-0.04,-0.14,-0.02
4.423,-0.06,-0.15,-0.02
4.443,-0.02,0.01,-0.10
4.463,-0.09,0.21,-0.05
4.483,-0.13,0.38,-0.05
4.503,-0.11,0.40,0.00
4.522,-0.11,0.28,-0.05
4.543,-0.03,-0.23,-0.14
4.562,0.30,-2.04,-0.04
4.586,0.51,-1.61,-0.08
4.602,-0.17,-0.47,0.05
4.621,-0.22,-0.74,-0.03
4.643,-0.12,-0.95,0.01
4.663,-0.22,-0.90,-0.12
4.684,-0.07,-0.73,-0.14
4.703,0.01,-0.63,-0.00
4.722,0.01,-0.09,-0.08
4.742,-0.02,0.14,-0.06
4.762,-0.02,0.22,-0.07
4.783,0.01,0.25,-0.08
4.802,-0.01,0.27,-0.00
4.823,0.07,0.17,-0.03
4.843,0.08,-0.08,-0.00
4.863,0.01,-0.21,-0.00
4.884,-0.01,-0.26,-0.06
4.903,-0.04,-0.35,-0.04
4.923,-0.09,-0.37,-0.07
4.943,-0.11,-0.29,-0.12
4.963,-0.11,-0.21,-0.06
4.984,-0.03,-0.14,-0.04
5.003,0.03,-0.06,-0.02
5.024,0.04,0.02,-0.02
5.043,0.02,0.09,-0.04
5.064,0.00,0.13,-0.00
5.084,-0.11,0.04,-0.04
5.103,-0.06,-0.12,-0.07
5.124,-0.03,-0.08,-0.02
5.142,-0.00,-0.01,-0.02
5.163,0.02,0.21,-0.02
5.185,0.04,0.71,0.12
5.203,0.13,1.58,0.19
5.223,0.07,1.50,0.20
5.243,0.49,1.28,0.05
5.264,0.51,0.76,-0.02
5.285,0.55,-0.02,-0.11
5.305,0.37,-0.62,-0.11
5.324,0.11,-1.03,-0.15
5.344,-0.10,-1.05,-0.13
5.364,-0.34,-0.87,-0.06
5.385,-0.45,-0.50,-0.08
5.404,-0.72,-0.33,-0.06
5.424,-0.26,-0.37,0.01
5.443,-0.63,-0.45,-0.04
5.465,-0.46,-0.35,-0.08
5.484,-0.16,-0.35,-0.03
5.504,-0.32,-0.06,-0.08
5.524,-0.33,0.20,-0.03
5.544,-0.22,0.42,0.01
5.565,-0.11,0.42,0.02
5.585,-0.05,0.42,-0.02
5.604,0.05,0.28,-0.08
5.624,0.15,0.03,-0.10
5.644,0.18,-0.46,-0.12
5.665,0.25,-2.18,-0.11
5.685,0.42,-1.65,-0.13
5.705,-0.17,-0.57,0.04
5.724,0.05,-0.64,-0.12
5.744,-0.01,-0.58,0.04
5.765,-0.03,-0.71,-0.00
5.784,0.13,-0.74,-0.16
5.805,0.08,-0.86,-0.07
5.824,0.01,-0.59,-0.11
5.844,-0.13,-0.45,-0.08
5.865,-0.11,-0.24,-0.04
5.885,-0.14,0.01,-0.05
5.904,-0.05,1.25,0.03
5.924,0.11,2.35,0.04
5.945,0.24,0.34,0.16
5.965,0.01,0.28,-0.12
5.986,0.02,0.18,-0.01
6.005,-0.10,0.21,-0.11
6.024,-0.20,0.22,0.10
6.046,-0.20,0.60,-0.04
6.066,-0.12,0.58,-0.09
6.086,-0.05,0.38,0.06
6.105,0.05,0.26,-0.12
6.125,0.13,-0.04,-0.08
6.145,0.14,-0.28,-0.10
6.166,0.00,-0.49,-0.06
6.186,-0.08,-0.55,-0.10
6.205,-0.15,-0.56,-0.10
6.225,-0.11,-0.45,-0.06
6.245,-0.02,-0.33,-0.05
6.266,0.01,-0.26,-0.08
6.286,0.02,-0.14,-0.04
6.305,0.02,-0.09,-0.02
6.326,0.06,-0.05,-0.07
6.346,0.07,-0.06,-0.03
6.365,0.01,-0.13,-0.04
6.386,-0.05,-0.29,-0.09
6.405,-0.06,-0.44,-0.08
6.426,-0.10,-0.56,-0.04
6.446,-0.09,-0.58,-0.01
6.466,-0.03,-0.36,-0.09
6.486,0.02,-0.33,-0.04
6.505,0.02,-0.30,-0.05
6.527,0.05,-0.37,-0.02
6.546,-0.06,-0.73,-0.04
6.566,-0.05,-1.16,-0.09
6.586,-0.05,-2.16,0.07
6.606,-0.04,-3.03,0.06
6.626,-0.12,-2.40,-0.09
6.646,-0.12,-1.24,-0.17
6.666,-0.14,0.11,-0.19
6.687,-0.06,1.28,-0.18
6.706,0.07,1.87,-0.06
6.726,0.17,1.88,0.05
6.746,0.10,0.97,0.00
6.766,0.04,-0.39,-0.00
6.786,-0.03,-0.10,-0.09
6.806,0.07,0.22,-0.08
6.826,0.05,0.58,0.01
6.846,-0.10,0.80,0.14
6.866,-0.12,0.99,-0.01
6.890,0.01,0.62,-0.08
6.920,0.18,-0.06,0.02
6.926,0.12,-0.02,-0.10
6.945,0.20,0.17,0.02
6.967,0.30,0.21,-0.04
6.986,0.42,0.19,-0.05
7.006,0.49,0.07,-0.03
7.026,0.34,-0.05,-0.06
7.046,0.28,-0.22,-0.07
7.067,0.11,-0.31,-0.10
7.087,-0.11,-0.41,-0.09
7.107,-0.99,-0.62,-0.03
7.127,-2.33,-1.13,0.02
7.147,-0.46,-0.45,-0.02
7.167,-0.41,0.02,0.01
7.187,-0.40,0.03,-0.10
7.207,0.14,-0.27,-0.02
7.227,0.37,-0.13,-0.17
7.246,0.36,-0.08,0.01
7.268,0.34,-0.19,-0.00
7.287,0.19,-0.20,-0.07
7.307,-0.04,-0.43,-0.06
7.327,-0.21,-0.60,-0.10
7.346,-0.14,-0.71,-0.07
7.367,-0.09,-0.65,-0.09
7.388,-0.07,-0.51,-0.06
7.407,-0.06,-0.28,-0.06
7.428,-0.03,-0.04,-0.03
7.447,0.08,0.31,-0.01
7.467,0.33,1.89,0.06
7.489,0.26,1.18,0.17
7.509,0.00,0.35,-0.11
7.527,-0.18,0.91,0.11
7.547,-0.15,1.14,-0.04
7.567,-0.15,1.13,0.01
7.587,-0.03,0.70,0.07
7.607,0.04,0.27,-0.11
7.627,0.10,-0.42,-0.10
7.647,0.15,-0.82,-0.17
7.668,0.15,-1.08,-0.10
7.687,0.00,-1.09,-0.11
7.710,-0.23,-1.76,-0.00
7.728,-0.19,-0.98,-0.19
7.748,-0.03,-0.96,0.07
7.768,0.04,-0.51,-0.11
7.787,0.02,-0.20,0.05
7.808,0.30,0.04,-0.03
7.829,0.35,0.07,-0.11
7.848,0.29,-0.01,-0.07
7.868,0.30,-0.18,-0.04
7.886,0.34,-0.42,-0.03
7.908,0.31,-0.48,-0.03
7.928,0.25,-0.37,-0.12
7.948,-0.12,-0.06,-0.07
7.968,-1.64,0.63,0.00
7.987,-0.98,0.93,0.06
8.008,0.28,-0.14,-0.01
8.028,-0.11,0.01,-0.05
8.048,0.08,-0.08,-0.08
8.067,-0.07,-0.09,-0.07
8.088,-0.17,-0.18,-0.04
8.108,-0.00,-0.05,-0.06
8.128,0.03,-0.11,0.04
8.148,-0.10,0.10,-0.09
8.169,-0.14,0.48,-0.10
